Event	ID	Name			Wwise Object Path	Notes
	371262000	Play_ARI_DS_03			\Default Work Unit\Dialogues\Play_ARI_DS_03	
	371262001	Play_ARI_DS_02			\Default Work Unit\Dialogues\Play_ARI_DS_02	
	371262002	Play_ARI_DS_01			\Default Work Unit\Dialogues\Play_ARI_DS_01	
	371262003	Play_ARI_DS_00			\Default Work Unit\Dialogues\Play_ARI_DS_00	
	371262004	Play_ARI_DS_07			\Default Work Unit\Dialogues\Play_ARI_DS_07	
	371262005	Play_ARI_DS_06			\Default Work Unit\Dialogues\Play_ARI_DS_06	
	371262006	Play_ARI_DS_05			\Default Work Unit\Dialogues\Play_ARI_DS_05	
	371262007	Play_ARI_DS_04			\Default Work Unit\Dialogues\Play_ARI_DS_04	
	371262010	Play_ARI_DS_09			\Default Work Unit\Dialogues\Play_ARI_DS_09	
	371262011	Play_ARI_DS_08			\Default Work Unit\Dialogues\Play_ARI_DS_08	
	581278905	Play_ARI_RA_06			\Default Work Unit\Dialogues\Play_ARI_RA_06	
	581278906	Play_ARI_RA_05			\Default Work Unit\Dialogues\Play_ARI_RA_05	
	581278907	Play_ARI_RA_04			\Default Work Unit\Dialogues\Play_ARI_RA_04	
	581278908	Play_ARI_RA_03			\Default Work Unit\Dialogues\Play_ARI_RA_03	
	581278909	Play_ARI_RA_02			\Default Work Unit\Dialogues\Play_ARI_RA_02	
	581278910	Play_ARI_RA_01			\Default Work Unit\Dialogues\Play_ARI_RA_01	
	581278911	Play_ARI_RA_00			\Default Work Unit\Dialogues\Play_ARI_RA_00	
	1685737168	Play_ARI_DC_10			\Default Work Unit\Dialogues\Play_ARI_DC_10	
	1685737169	Play_ARI_DC_11			\Default Work Unit\Dialogues\Play_ARI_DC_11	
	1685737170	Play_ARI_DC_12			\Default Work Unit\Dialogues\Play_ARI_DC_12	
	1685737171	Play_ARI_DC_13			\Default Work Unit\Dialogues\Play_ARI_DC_13	
	1685737172	Play_ARI_DC_14			\Default Work Unit\Dialogues\Play_ARI_DC_14	
	1685737173	Play_ARI_DC_15			\Default Work Unit\Dialogues\Play_ARI_DC_15	
	1685737174	Play_ARI_DC_16			\Default Work Unit\Dialogues\Play_ARI_DC_16	
	1685737175	Play_ARI_DC_17			\Default Work Unit\Dialogues\Play_ARI_DC_17	
	1685737176	Play_ARI_DC_18			\Default Work Unit\Dialogues\Play_ARI_DC_18	
	1685737177	Play_ARI_DC_19			\Default Work Unit\Dialogues\Play_ARI_DC_19	
	1702514752	Play_ARI_DC_03			\Default Work Unit\Dialogues\Play_ARI_DC_03	
	1702514753	Play_ARI_DC_02			\Default Work Unit\Dialogues\Play_ARI_DC_02	
	1702514754	Play_ARI_DC_01			\Default Work Unit\Dialogues\Play_ARI_DC_01	
	1702514755	Play_ARI_DC_00			\Default Work Unit\Dialogues\Play_ARI_DC_00	
	1702514756	Play_ARI_DC_07			\Default Work Unit\Dialogues\Play_ARI_DC_07	
	1702514757	Play_ARI_DC_06			\Default Work Unit\Dialogues\Play_ARI_DC_06	
	1702514758	Play_ARI_DC_05			\Default Work Unit\Dialogues\Play_ARI_DC_05	
	1702514759	Play_ARI_DC_04			\Default Work Unit\Dialogues\Play_ARI_DC_04	
	1702514762	Play_ARI_DC_09			\Default Work Unit\Dialogues\Play_ARI_DC_09	
	1702514763	Play_ARI_DC_08			\Default Work Unit\Dialogues\Play_ARI_DC_08	
	1736070056	Play_ARI_DC_21			\Default Work Unit\Dialogues\Play_ARI_DC_21	
	1736070057	Play_ARI_DC_20			\Default Work Unit\Dialogues\Play_ARI_DC_20	
	1736070058	Play_ARI_DC_23			\Default Work Unit\Dialogues\Play_ARI_DC_23	
	1736070059	Play_ARI_DC_22			\Default Work Unit\Dialogues\Play_ARI_DC_22	
	1736070060	Play_ARI_DC_25			\Default Work Unit\Dialogues\Play_ARI_DC_25	
	1736070061	Play_ARI_DC_24			\Default Work Unit\Dialogues\Play_ARI_DC_24	
	1736070062	Play_ARI_DC_27			\Default Work Unit\Dialogues\Play_ARI_DC_27	
	1736070063	Play_ARI_DC_26			\Default Work Unit\Dialogues\Play_ARI_DC_26	
	3339726064	Play_ARI_RS_09			\Default Work Unit\Dialogues\Play_ARI_RS_09	
	3339726065	Play_ARI_RS_08			\Default Work Unit\Dialogues\Play_ARI_RS_08	
	3339726072	Play_ARI_RS_01			\Default Work Unit\Dialogues\Play_ARI_RS_01	
	3339726073	Play_ARI_RS_00			\Default Work Unit\Dialogues\Play_ARI_RS_00	
	3339726074	Play_ARI_RS_03			\Default Work Unit\Dialogues\Play_ARI_RS_03	
	3339726075	Play_ARI_RS_02			\Default Work Unit\Dialogues\Play_ARI_RS_02	
	3339726076	Play_ARI_RS_05			\Default Work Unit\Dialogues\Play_ARI_RS_05	
	3339726077	Play_ARI_RS_04			\Default Work Unit\Dialogues\Play_ARI_RS_04	
	3339726078	Play_ARI_RS_07			\Default Work Unit\Dialogues\Play_ARI_RS_07	
	3339726079	Play_ARI_RS_06			\Default Work Unit\Dialogues\Play_ARI_RS_06	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	8589898	ARI_DC_26	C:\Users\Adrien\Documents\GitHub\TouchMe\Assets\wwise touch me\.cache\Windows\Voices\English(US)\ARI_DC_26_76A5D070.wem		\Actor-Mixer Hierarchy\Main\Ariette\Dialogues contextuels négatifs\ARI_DC_26		36427
	10894816	ARI_RS_07	C:\Users\Adrien\Documents\GitHub\TouchMe\Assets\wwise touch me\.cache\Windows\Voices\English(US)\ARI_RS_07_76A5D070.wem		\Actor-Mixer Hierarchy\Main\Ariette\Répliques simples négatives\ARI_RS_07		40588
	30672478	ARI_DC_12	C:\Users\Adrien\Documents\GitHub\TouchMe\Assets\wwise touch me\.cache\Windows\Voices\English(US)\ARI_DC_12_76A5D070.wem		\Actor-Mixer Hierarchy\Main\Ariette\Dialogues contextuels positifs\ARI_DC_12		65122
	48346560	ARI_DC_23	C:\Users\Adrien\Documents\GitHub\TouchMe\Assets\wwise touch me\.cache\Windows\Voices\English(US)\ARI_DC_23_76A5D070.wem		\Actor-Mixer Hierarchy\Main\Ariette\Dialogues contextuels négatifs\ARI_DC_23		45295
	59512995	ARI_RA_00	C:\Users\Adrien\Documents\GitHub\TouchMe\Assets\wwise touch me\.cache\Windows\Voices\English(US)\ARI_RA_00_76A5D070.wem		\Actor-Mixer Hierarchy\Main\Ariette\Répliques actions\ARI_RA_00		28244
	76755841	ARI_DC_11	C:\Users\Adrien\Documents\GitHub\TouchMe\Assets\wwise touch me\.cache\Windows\Voices\English(US)\ARI_DC_11_76A5D070.wem		\Actor-Mixer Hierarchy\Main\Ariette\Dialogues contextuels positifs\ARI_DC_11		35080
	91531096	ARI_DC_14	C:\Users\Adrien\Documents\GitHub\TouchMe\Assets\wwise touch me\.cache\Windows\Voices\English(US)\ARI_DC_14_76A5D070.wem		\Actor-Mixer Hierarchy\Main\Ariette\Dialogues contextuels négatifs\ARI_DC_14		49052
	92920117	ARI_DC_02	C:\Users\Adrien\Documents\GitHub\TouchMe\Assets\wwise touch me\.cache\Windows\Voices\English(US)\ARI_DC_02_76A5D070.wem		\Actor-Mixer Hierarchy\Main\Ariette\Dialogues contextuels positifs\ARI_DC_02		24663
	107111175	ARI_DC_04	C:\Users\Adrien\Documents\GitHub\TouchMe\Assets\wwise touch me\.cache\Windows\Voices\English(US)\ARI_DC_04_76A5D070.wem		\Actor-Mixer Hierarchy\Main\Ariette\Dialogues contextuels positifs\ARI_DC_04		23020
	128589999	ARI_RS_06	C:\Users\Adrien\Documents\GitHub\TouchMe\Assets\wwise touch me\.cache\Windows\Voices\English(US)\ARI_RS_06_76A5D070.wem		\Actor-Mixer Hierarchy\Main\Ariette\Répliques simples négatives\ARI_RS_06		82259
	128911939	ARI_DS_09	C:\Users\Adrien\Documents\GitHub\TouchMe\Assets\wwise touch me\.cache\Windows\Voices\English(US)\ARI_DS_09_76A5D070.wem		\Actor-Mixer Hierarchy\Main\Ariette\Dialogues scriptés\ARI_DS_09		18586
	170380169	ARI_RA_03	C:\Users\Adrien\Documents\GitHub\TouchMe\Assets\wwise touch me\.cache\Windows\Voices\English(US)\ARI_RA_03_76A5D070.wem		\Actor-Mixer Hierarchy\Main\Ariette\Répliques actions\ARI_RA_03		43102
	208019977	ARI_DC_01	C:\Users\Adrien\Documents\GitHub\TouchMe\Assets\wwise touch me\.cache\Windows\Voices\English(US)\ARI_DC_01_76A5D070.wem		\Actor-Mixer Hierarchy\Main\Ariette\Dialogues contextuels positifs\ARI_DC_01		21841
	213593618	ARI_DC_10	C:\Users\Adrien\Documents\GitHub\TouchMe\Assets\wwise touch me\.cache\Windows\Voices\English(US)\ARI_DC_10_76A5D070.wem		\Actor-Mixer Hierarchy\Main\Ariette\Dialogues contextuels positifs\ARI_DC_10		47248
	216021773	ARI_DC_06	C:\Users\Adrien\Documents\GitHub\TouchMe\Assets\wwise touch me\.cache\Windows\Voices\English(US)\ARI_DC_06_76A5D070.wem		\Actor-Mixer Hierarchy\Main\Ariette\Dialogues contextuels positifs\ARI_DC_06		23297
	279227010	ARI_DS_00	C:\Users\Adrien\Documents\GitHub\TouchMe\Assets\wwise touch me\.cache\Windows\Voices\English(US)\ARI_DS_00_76A5D070.wem		\Actor-Mixer Hierarchy\Main\Ariette\Dialogues scriptés\ARI_DS_00		36993
	320121308	ARI_DC_17	C:\Users\Adrien\Documents\GitHub\TouchMe\Assets\wwise touch me\.cache\Windows\Voices\English(US)\ARI_DC_17_76A5D070.wem		\Actor-Mixer Hierarchy\Main\Ariette\Dialogues contextuels négatifs\ARI_DC_17		90274
	350487260	ARI_DC_24	C:\Users\Adrien\Documents\GitHub\TouchMe\Assets\wwise touch me\.cache\Windows\Voices\English(US)\ARI_DC_24_76A5D070.wem		\Actor-Mixer Hierarchy\Main\Ariette\Dialogues contextuels négatifs\ARI_DC_24		21991
	385892569	ARI_DC_05	C:\Users\Adrien\Documents\GitHub\TouchMe\Assets\wwise touch me\.cache\Windows\Voices\English(US)\ARI_DC_05_76A5D070.wem		\Actor-Mixer Hierarchy\Main\Ariette\Dialogues contextuels positifs\ARI_DC_05		27140
